Chemical_name	CAS_number	InChIKey	Screening_method	Class_1	Class_2	Class_3	MoA_broad	MoA_specific	Molecular_target	Matrix	Sites	MDL	Quant	units
Musk ambrette	83-66-9	SUAUILGSCPYJCS-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	Neuroactive	n/a	n/a	Water	Q_R	0.5	13.106	ng/L
Clofibric acid	882-09-7	TXCGAZHTZHNUAI-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Synthetic Auxin, Lipid metabolism	Auxin-transport inhibition, PPAR receptor agonist	Peroxisome proliferator-activated receptor (PPAR) alpha	Water	Q_M	1	0.1276	ng/L
Metoprolol	51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Water	Q_M	3	0.2914	ng/L
Metoprolol	51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Water	Q_R	3	0.2625	ng/L
Metoprolol	51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Water	Q_T	3	0.3158	ng/L
Bentazone	25057-89-0	ZOMSMJKLGFBRBS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	other	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Water	Q_R	1	0.0441	ng/L
Diuron	330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Water	Q_M	1	16.2362	ng/L
Diuron	330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Water	Q_O	1	8.332	ng/L
Diuron	330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Water	Q_R	1	1.2803	ng/L
Diuron	330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Water	Q_T	1	7.8464	ng/L
Imazalil	35554-44-0	PZBPKYOVPCNPJY-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	imidazole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Water	Q_T	1	91.6188	ng/L
Diflufenican	83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Water	Q_T	10	1771.165	ng/L
4-Aminoantipyrine	83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Water	Q_M	18	1.7683	ng/L
4-Aminoantipyrine	83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Water	Q_O	18	3.103	ng/L
4-Aminoantipyrine	83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Water	Q_R	18	2.8013	ng/L
4-Aminoantipyrine	83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Water	Q_T	18	1.6275	ng/L
Benzyl-2-naphthylether	613-62-7	WLTCCDHHWYAMCG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Water	Q_O	0.5	12.317	ng/L
Ethylene glycol diphenylether	104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Water	Q_M	0.5	6.918	ng/L
